Date,HSCode,Commodity_x,Import_Value,Commodity_y,Export_Value
2007-01-01,1,LIVE ANIMALS.,0.02,LIVE ANIMALS.,0.78
2007-01-01,2,MEAT AND EDIBLE MEAT OFFAL.,0.01,MEAT AND EDIBLE MEAT OFFAL.,51.44
2007-01-01,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.12,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",116.92
2007-01-01,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.88,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",33.96
2007-01-01,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.47,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",3.01
2007-01-01,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.44,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,13.13
2007-01-01,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,76.34,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,44.37
2007-01-01,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,85.49,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,71.62
2007-01-01,9,"COFFEE, TEA, MATE AND SPICES.",11.63,"COFFEE, TEA, MATE AND SPICES.",81.21
2007-01-01,10,CEREALS.,85.98,CEREALS.,152.49
2007-01-01,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.3,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,2.9
2007-01-01,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",11.84,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",46.28
