Import,Date,forecastValue,confidenceHighBound, confidenceLowBound ,,,
12519.71,1/1/2006 0:00,,,,,,
11479.69,2/1/2006 0:00,,,,,,
14314.02,3/1/2006 0:00,,,,,,
12924.18,4/1/2006 0:00,,,,,,
15105.67,5/1/2006 0:00,,,,,,
14399.73,6/1/2006 0:00,,,,,,
14985.01,7/1/2006 0:00,,,,,,
15326.36,8/1/2006 0:00,,,,,,
17350.69,9/1/2006 0:00,,,,,,
17512.02,10/1/2006 0:00,,,,,,
16380.87,11/1/2006 0:00,,,,,,
15679.22,12/1/2006 0:00,,,,,,
14446.56,1/1/2007 0:00,,,,,,
14484.40,2/1/2007 0:00,,,,,,
17136.21,3/1/2007 0:00,,,,,,
18370.24,4/1/2007 0:00,,,,,,
21149.16,5/1/2007 0:00,,,,,,
21138.69,6/1/2007 0:00,,,,,,
21128.23,7/1/2007 0:00,,,,,,
20365.52,8/1/2007 0:00,,,,,,
18217.10,9/1/2007 0:00,,,,,,
21832.21,10/1/2007 0:00,,,,,,
22103.79,11/1/2007 0:00,,,,,,
20116.53,12/1/2007 0:00,,,,,,
22844.02,1/1/2008 0:00,,,,,,
21933.98,2/1/2008 0:00,,,,,,
23573.31,3/1/2008 0:00,,,,,,
30316.50,4/1/2008 0:00,,,,,,
29443.24,5/1/2008 0:00,,,,,,
28950.25,6/1/2008 0:00,,,,,,
31625.09,7/1/2008 0:00,,,,,,
33522.88,8/1/2008 0:00,,,,,,
31135.37,9/1/2008 0:00,,,,,,
25868.92,10/1/2008 0:00,,,,,,
23487.81,11/1/2008 0:00,,,,,,
19455.95,12/1/2008 0:00,,,,,,
18227.82,1/1/2009 0:00,,,,,,
15061.87,2/1/2009 0:00,,,,,,
16596.28,3/1/2009 0:00,,,,,,
19340.37,4/1/2009 0:00,,,,,,
20036.04,5/1/2009 0:00,,,,,,
23054.61,6/1/2009 0:00,,,,,,
21723.09,7/1/2009 0:00,,,,,,
22448.31,8/1/2009 0:00,,,,,,
21526.84,9/1/2009 0:00,,,,,,
25935.46,10/1/2009 0:00,,,,,,
24996.13,11/1/2009 0:00,,,,,,
28251.07,12/1/2009 0:00,,,,,,
25266.66,1/1/2010 0:00,,,,,,
26163.47,2/1/2010 0:00,,,,,,
29626.51,3/1/2010 0:00,,,,,,
31674.58,4/1/2010 0:00,,,,,,
29746.77,5/1/2010 0:00,,,,,,
28648.27,6/1/2010 0:00,,,,,,
29669.53,7/1/2010 0:00,,,,,,
27107.30,8/1/2010 0:00,,,,,,
29511.42,9/1/2010 0:00,,,,,,
32461.33,10/1/2010 0:00,,,,,,
28841.96,11/1/2010 0:00,,,,,,
31510.72,12/1/2010 0:00,,,,,,
33353.23,1/1/2011 0:00,,,,,,
32973.05,2/1/2011 0:00,,,,,,
34266.61,3/1/2011 0:00,,,,,,
36595.51,4/1/2011 0:00,,,,,,
45253.87,5/1/2011 0:00,,,,,,
