HSCode,Commodity,Value,Date
1,LIVE ANIMALS.,0.02,1/1/2007
2,MEAT AND EDIBLE MEAT OFFAL.,0.01,1/1/2007
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.12,1/1/2007
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.88,1/1/2007
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.47,1/1/2007
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.44,1/1/2007
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,76.34,1/1/2007
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,85.49,1/1/2007
9,"COFFEE, TEA, MATE AND SPICES.",11.63,1/1/2007
10,CEREALS.,85.98,1/1/2007
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.3,1/1/2007
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",11.84,1/1/2007
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",4.07,1/1/2007
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.86,1/1/2007
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,143.83,1/1/2007
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.19,1/1/2007
17,SUGARS AND SUGAR CONFECTIONERY.,2.37,1/1/2007
18,COCOA AND COCOA PREPARATIONS.,2.26,1/1/2007
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.35,1/1/2007
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",2.73,1/1/2007
21,MISCELLANEOUS EDIBLE PREPARATIONS.,2.24,1/1/2007
22,"BEVERAGES, SPIRITS AND VINEGAR.",14.55,1/1/2007
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,5.36,1/1/2007
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,2.32,1/1/2007
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",75,1/1/2007
26,"ORES, SLAG AND ASH.",542.51,1/1/2007
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","4,169.88",1/1/2007
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",229.37,1/1/2007
29,ORGANIC CHEMICALS,468.94,1/1/2007
30,PHARMACEUTICAL PRODUCTS,89.77,1/1/2007
31,FERTILISERS.,143.59,1/1/2007
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",43.21,1/1/2007
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",16.03,1/1/2007
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",15.79,1/1/2007
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,7.61,1/1/2007
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2.91,1/1/2007
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,16.98,1/1/2007
38,MISCELLANEOUS CHEMICAL PRODUCTS.,109.4,1/1/2007
39,PLASTIC AND ARTICLES THEREOF.,236.48,1/1/2007
40,RUBBER AND ARTICLES THEREOF.,97.57,1/1/2007
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,31.46,1/1/2007
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",3.46,1/1/2007
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.22,1/1/2007
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,100.36,1/1/2007
45,CORK AND ARTICLES OF CORK.,0.39,1/1/2007
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.05,1/1/2007
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,51.28,1/1/2007
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",86.89,1/1/2007
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",48.91,1/1/2007
50,SILK,27.95,1/1/2007
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",22.54,1/1/2007
52,COTTON.,41.31,1/1/2007
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,8.2,1/1/2007
54,MAN-MADE FILAMENTS.,30.01,1/1/2007
55,MAN-MADE STAPLE FIBRES.,16.37,1/1/2007
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.44,1/1/2007
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,3.97,1/1/2007
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,5.64,1/1/2007
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",32.36,1/1/2007
60,KNITTED OR CROCHETED FABRICS.,5.94,1/1/2007
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2.44,1/1/2007
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3.46,1/1/2007
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,6.6,1/1/2007
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",10.34,1/1/2007
65,HEADGEAR AND PARTS THEREOF.,0.31,1/1/2007
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.48,1/1/2007
